user_id,claim_object,expected_evidence_standard_met,predicted_evidence_standard_met,expected_evidence_standard_met_reason,predicted_evidence_standard_met_reason,expected_risk_flags,predicted_risk_flags,expected_issue_type,predicted_issue_type,expected_object_part,predicted_object_part,expected_claim_status,predicted_claim_status,expected_claim_status_justification,predicted_claim_status_justification,expected_supporting_image_ids,predicted_supporting_image_ids,expected_valid_image,predicted_valid_image,expected_severity,predicted_severity
user_001,car,true,true,The rear bumper is visible and the dent can be verified from the submitted image.,"img_1 provides clear visual evidence of significant damage to the rear of the vehicle, including a dented trunk and missing bumper components, allowing for verification of the claim.",none,non_original_image,dent,dent,rear_bumper,rear_bumper,supported,supported,The image clearly shows a dent on the rear bumper and the user history does not add risk.,"img_1 shows a dented trunk and severe damage to the rear bumper area, which supports the user's claim of a dent in that region.",img_1,img_1,true,false,medium,high
user_002,car,false,true,"The close-up image shows front-end damage, but the full-view image appears to show a different car, so the image set does not satisfy vehicle identity evidence.","The submitted images clearly show the front bumper of a vehicle, providing sufficient visual information to evaluate the claimed scratch.",wrong_object;claim_mismatch;manual_review_required,claim_mismatch,broken_part,none,front_bumper,front_bumper,not_enough_information,contradicted,The submitted images do not reliably support the claim because the damaged close-up and the full vehicle view appear to be from different cars.,"The claim is contradicted due to a claim_mismatch between the images. img_1 shows severe damage (broken_part) that is inconsistent with the 'light scratch' description, while img_2 shows an entirely intact front bumper, directly contradicting the claim of any damage.",img_1;img_2,none,true,true,unknown,none
user_004,car,true,true,The windshield is visible and the close-up image shows clear crack lines.,"The images provide enough information to evaluate the claim; img_1 shows a shattered windshield (appearing to be a stock photo) while img_2 shows an intact windshield, allowing for a contradiction.",none,claim_mismatch;non_original_image,crack,crack,windshield,windshield,supported,contradicted,The image set supports the claim because the windshield crack is visible in the close-up.,"The valid image (img_2) shows the windshield is intact with no visible cracks, contradicting the user's claim.",img_1,none,true,false,medium,none
user_007,car,true,true,The side mirror is visible and appears broken or missing.,"img_1 provides a clear view of the side mirror and the shattered glass, meeting the requirement to inspect the claimed part.",none,non_original_image,broken_part,glass_shatter,side_mirror,side_mirror,supported,supported,The submitted image directly shows damage to the claimed side mirror.,"img_1 shows the side mirror with shattered glass, which confirms the user's claim that the side mirror was damaged.",img_1,img_1,true,false,medium,medium
user_005,car,true,true,"The rear bumper is visible, but the visible issue is only a small scratch rather than bad damage.","The images provide a clear view of the rear bumper (img_2) and the adjacent quarter panel (img_1), allowing for a definitive assessment of the claimed part.",claim_mismatch;user_history_risk;manual_review_required,damage_not_visible;user_history_risk,scratch,none,rear_bumper,rear_bumper,contradicted,contradicted,"The images show only minor rear bumper scratching, so the severe damage claim is contradicted. User history also shows several rejected claims.","The user specifically claims damage to the 'back bumper'. While img_1 shows a dent on the quarter panel, img_2 shows the rear bumper is intact and undamaged.",img_1,none,true,true,low,none
user_006,car,false,false,"The image does not show the headlight, so the claimed crack cannot be verified.","The claimed part (headlight) is not visible in img_1, making it impossible to verify the alleged crack.",wrong_angle;damage_not_visible,non_original_image;wrong_object_part,unknown,unknown,headlight,unknown,not_enough_information,not_enough_information,The submitted image shows another part of the car and does not provide evidence for the headlight claim.,"The headlight is not visible in img_1, so the claim cannot be supported or contradicted.",none,none,true,false,unknown,unknown
user_003,car,true,true,"One image is blurry, but the second image clearly shows the door dent.","While img_1 is too blurry to provide usable information, img_2 clearly shows the claimed door panel and the visible dent, meeting the requirements for car body panel inspection.",blurry_image,blurry_image,dent,dent,door,door,supported,supported,The clearer second image supports the claim by showing a dent on the door.,"The dent on the door panel is clearly visible in img_2, matching the user's description.",img_2,img_2,true,true,medium,medium
user_008,car,true,false,The submitted image is sufficient to see that the visible damage does not match the claimed hood scratch.,img_1 is a watermarked stock photo and does not provide authentic visual evidence of the claimed scratch on the hood.,claim_mismatch;non_original_image;user_history_risk;manual_review_required,claim_mismatch;non_original_image;user_history_risk;wrong_object,broken_part,scratch,front_bumper,hood,contradicted,contradicted,"The image shows severe front-end damage rather than a scratch on the hood, so it does not support the user's hood-scratch claim.","img_1 is a watermarked stock photo showing a vehicle with severe fire damage, which contradicts the claim of a minor scratch on the hood.",img_1,none,false,false,high,low
user_009,laptop,true,true,The laptop screen is visible and the crack pattern can be verified.,"img_1 provides a clear, high-resolution view of the laptop screen, allowing for direct verification of the claimed damage.",none,none,crack,glass_shatter,screen,screen,supported,supported,The image directly shows a crack on the laptop screen.,"img_1 shows a laptop with a severely shattered screen (spiderweb pattern), which directly supports the user's claim of a cracked display glass.",img_1,img_1,true,true,medium,high
user_010,laptop,true,true,The full laptop gives context and the hinge close-up shows visible breakage.,"img_1 provides clear visual evidence of the broken hinge area, meeting the requirements for laptop body/hinge inspection.",none,claim_mismatch;non_original_image,broken_part,broken_part,hinge,hinge,supported,supported,The first image supports the claim because the hinge damage is visible.,"img_1 shows physical breakage and missing plastic at the hinge area, directly supporting the user's claim of a broken hinge.",img_1,img_1,true,false,medium,medium
